appid,title
730,CounterStrike Global Offensive
240,CounterStrike Source
300,Day of Defeat Source
40,Deathmatch Classic
570,Dota 2
4000,Garrys Mod
70,HalfLife
220,HalfLife 2
320,HalfLife 2 Deathmatch
380,HalfLife 2 Episode One
420,HalfLife 2 Episode Two
340,HalfLife 2 Lost Coast
546560,HalfLife Alyx
360,HalfLife Deathmatch Source
50,HalfLife Opposing Force
280,HalfLife Source
500,Left 4 Dead
550,Left 4 Dead 2
400,Portal
630,Portal 2
440,Team Fortress 2
